2025-07-06 20:52:35.273 [main] WARN  o.s.b.t.j.DuplicateJsonObjectContextCustomizerFactory$DuplicateJsonObjectContextCustomizer - 
2025-07-06 20:52:38.807 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2025-07-06 20:52:38.808 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2025-07-06 20:52:38.823 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.bgpay.bgai.repository.es.ChatRecordRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2025-07-06 20:52:38.823 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 6 ms. Found 0 Redis repository interfaces.
2025-07-06 20:52:40.294 [main] WARN  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.commons.config.CommonsConfigAutoConfiguration' of type [org.springframework.cloud.commons.config.CommonsConfigAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected into a currently created BeanPostProcessor [org.apache.rocketmq.spring.annotation.RocketMQMessageListenerBeanPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies.
2025-07-06 20:52:40.302 [main] WARN  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.client.loadbalancer.LoadBalancerDefaultMappingsProviderAutoConfiguration' of type [org.springframework.cloud.client.loadbalancer.LoadBalancerDefaultMappingsProviderAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected into a currently created BeanPostProcessor [org.apache.rocketmq.spring.annotation.RocketMQMessageListenerBeanPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies.
2025-07-06 20:52:40.308 [main] WARN  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'loadBalancerClientsDefaultsMappingsProvider' of type [org.springframework.cloud.client.loadbalancer.LoadBalancerDefaultMappingsProviderAutoConfiguration$$Lambda/0x00000245a1a47dd8] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected into a currently created BeanPostProcessor [org.apache.rocketmq.spring.annotation.RocketMQMessageListenerBeanPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies.
2025-07-06 20:52:40.324 [main] WARN  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'defaultsBindHandlerAdvisor' of type [org.springframework.cloud.commons.config.DefaultsBindHandlerAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected into a currently created BeanPostProcessor [org.apache.rocketmq.spring.annotation.RocketMQMessageListenerBeanPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies.
2025-07-06 20:52:40.360 [main] WARN  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'spring.datasource.dynamic-com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceProperties' of type [com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected into a currently created BeanPostProcessor [org.apache.rocketmq.spring.annotation.RocketMQMessageListenerBeanPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies.
2025-07-06 20:52:40.388 [main] WARN  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceAutoConfiguration' of type [com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceAutoConfiguration$$SpringCGLIB$$0] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected into a currently created BeanPostProcessor [org.apache.rocketmq.spring.annotation.RocketMQMessageListenerBeanPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies.
2025-07-06 20:52:40.408 [main] WARN  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'dsProcessor' of type [com.baomidou.dynamic.datasource.processor.jakarta.DsJakartaHeaderProcessor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected into a currently created BeanPostProcessor [org.apache.rocketmq.spring.annotation.RocketMQMessageListenerBeanPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies.
2025-07-06 20:52:40.573 [main] WARN  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'messageConverterConfiguration' of type [org.apache.rocketmq.spring.autoconfigure.MessageConverterConfiguration$$SpringCGLIB$$0] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected into a currently created BeanPostProcessor [org.apache.rocketmq.spring.annotation.RocketMQMessageListenerBeanPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies.
2025-07-06 20:52:40.659 [main] WARN  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'createRocketMQMessageConverter' of type [org.apache.rocketmq.spring.support.RocketMQMessageConverter] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected into a currently created BeanPostProcessor [org.apache.rocketmq.spring.annotation.RocketMQMessageListenerBeanPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies.
2025-07-06 20:52:40.672 [main] WARN  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'rocketmq-org.apache.rocketmq.spring.autoconfigure.RocketMQProperties' of type [org.apache.rocketmq.spring.autoconfigure.RocketMQProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected into a currently created BeanPostProcessor [org.apache.rocketmq.spring.annotation.RocketMQMessageListenerBeanPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies.
2025-07-06 20:52:40.679 [main] WARN  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'listenerContainerConfiguration' of type [org.apache.rocketmq.spring.autoconfigure.ListenerContainerConfiguration$$SpringCGLIB$$0] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected into a currently created BeanPostProcessor [org.apache.rocketmq.spring.annotation.RocketMQMessageListenerBeanPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies.
2025-07-06 20:52:40.744 [main] WARN  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.client.loadbalancer.LoadBalancerAutoConfiguration$DeferringLoadBalancerInterceptorConfig' of type [org.springframework.cloud.client.loadbalancer.LoadBalancerAutoConfiguration$DeferringLoadBalancerInterceptorConfig] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). The currently created BeanPostProcessor [lbRestClientPostProcessor] is declared through a non-static factory method on that class; consider declaring it as static instead.
2025-07-06 20:52:40.752 [main] WARN  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'deferringLoadBalancerInterceptor' of type [org.springframework.cloud.client.loadbalancer.DeferringLoadBalancerInterceptor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected into a currently created BeanPostProcessor [lbRestClientPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies.
2025-07-06 20:52:40.760 [main] WARN  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.client.loadbalancer.reactive.LoadBalancerBeanPostProcessorAutoConfiguration' of type [org.springframework.cloud.client.loadbalancer.reactive.LoadBalancerBeanPostProcessorAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). The currently created BeanPostProcessor [loadBalancerWebClientBuilderBeanPostProcessor] is declared through a non-static factory method on that class; consider declaring it as static instead.
2025-07-06 20:52:40.764 [main] WARN  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.client.loadbalancer.reactive.LoadBalancerBeanPostProcessorAutoConfiguration$ReactorDeferringLoadBalancerFilterConfig' of type [org.springframework.cloud.client.loadbalancer.reactive.LoadBalancerBeanPostProcessorAutoConfiguration$ReactorDeferringLoadBalancerFilterConfig] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected into a currently created BeanPostProcessor [loadBalancerWebClientBuilderBeanPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies.
2025-07-06 20:52:40.768 [main] WARN  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'reactorDeferringLoadBalancerExchangeFilterFunction' of type [org.springframework.cloud.client.loadbalancer.reactive.DeferringLoadBalancerExchangeFilterFunction] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected into a currently created BeanPostProcessor [loadBalancerWebClientBuilderBeanPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies.
2025-07-06 20:52:41.090 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 0 (http)
2025-07-06 20:52:41.104 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - The ["http-nio-auto-1"] connector has been configured to support HTTP upgrade to [h2c]
2025-07-06 20:52:41.104 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-auto-1"]
2025-07-06 20:52:41.106 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-07-06 20:52:41.107 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
2025-07-06 20:52:41.521 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2025-07-06 20:52:41.963 [main] INFO  io.seata.config.ConfigurationFactory - load Configuration from :Spring Configuration
2025-07-06 20:52:41.974 [main] INFO  io.seata.config.ConfigurationFactory - load Configuration from :Spring Configuration
2025-07-06 20:52:41.980 [main] INFO  io.seata.rm.datasource.AsyncWorker - Async Commit Buffer Limit: 10000
2025-07-06 20:52:41.983 [main] INFO  io.seata.rm.datasource.xa.ResourceManagerXA - ResourceManagerXA init ...
2025-07-06 20:52:42.101 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-2} inited
2025-07-06 20:52:42.343 [main] INFO  org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-07-06 20:52:42.445 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.4.Final
2025-07-06 20:52:42.496 [main] INFO  o.hibernate.cache.internal.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2025-07-06 20:52:42.826 [main] INFO  o.s.o.j.persistenceunit.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2025-07-06 20:52:42.915 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: MySQL8Dialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2025-07-06 20:52:42.917 [main] WARN  org.hibernate.orm.deprecation - HHH90000026: MySQL8Dialect has been deprecated; use org.hibernate.dialect.MySQLDialect instead
2025-07-06 20:52:43.253 [main] INFO  o.h.e.t.jta.platform.internal.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-07-06 20:52:43.259 [main] INFO  o.s.orm.jpa.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-07-06 20:52:43.344 [main] INFO  com.bgpay.bgai.config.SeataDisableConfiguration - SeataDisableConfiguration已加载，Seata在测试环境中被禁用
2025-07-06 20:52:43.344 [main] INFO  com.bgpay.bgai.config.SeataDisableConfiguration - 设置系统属性: seata.enabled=false, saga.enabled=false
2025-07-06 20:52:43.848 [main] INFO  com.bgpay.bgai.service.deepseek.FileTypeService - 开始刷新文件类型缓存
2025-07-06 20:52:43.951 [main] DEBUG com.bgpay.bgai.mapper.FileTypeMapper.selectList - ==>  Preparing: SELECT id,mime_type,extensions,magic_numbers,is_active FROM mime_type_config WHERE (is_active = ?)
2025-07-06 20:52:43.969 [main] DEBUG com.bgpay.bgai.mapper.FileTypeMapper.selectList - ==> Parameters: true(Boolean)
2025-07-06 20:52:43.997 [main] DEBUG com.bgpay.bgai.mapper.FileTypeMapper.selectList - <==      Total: 52
2025-07-06 20:52:44.002 [main] DEBUG c.b.bgai.mapper.AllowedFileTypeMapper.selectList - ==>  Preparing: SELECT mime_type FROM allowed_file_type WHERE (is_allowed = ?)
2025-07-06 20:52:44.002 [main] DEBUG c.b.bgai.mapper.AllowedFileTypeMapper.selectList - ==> Parameters: true(Boolean)
2025-07-06 20:52:44.010 [main] DEBUG c.b.bgai.mapper.AllowedFileTypeMapper.selectList - <==      Total: 11
2025-07-06 20:52:44.011 [main] INFO  com.bgpay.bgai.service.deepseek.FileTypeService - 文件类型缓存刷新完成，共加载 52 个MIME类型配置和 11 个允许的文件类型
2025-07-06 20:52:44.225 [main] INFO  c.bgpay.bgai.config.NacosRouteDefinitionRepository - 初始化Nacos路由定义存储库
2025-07-06 20:52:44.227 [main] INFO  c.a.n.p.auth.spi.client.ClientAuthPluginManager - [ClientAuthPluginManager] Load ClientAuthService com.alibaba.nacos.client.auth.impl.NacosClientAuthServiceImpl success.
2025-07-06 20:52:44.227 [main] INFO  c.a.n.p.auth.spi.client.ClientAuthPluginManager - [ClientAuthPluginManager] Load ClientAuthService com.alibaba.nacos.client.auth.ram.RamClientAuthServiceImpl success.
2025-07-06 20:52:44.228 [main] INFO  com.alibaba.nacos.common.remote.client - [RpcClientFactory] create a new rpc client of 818abb01-efe9-4f9c-8d30-e9ca2729a869_config-0
2025-07-06 20:52:44.228 [main] INFO  com.alibaba.nacos.common.remote.client - [818abb01-efe9-4f9c-8d30-e9ca2729a869_config-0] Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda/0x00000245a15fe9f8
2025-07-06 20:52:44.228 [main] INFO  com.alibaba.nacos.common.remote.client - [818abb01-efe9-4f9c-8d30-e9ca2729a869_config-0] Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda/0x00000245a15fee08
2025-07-06 20:52:44.228 [main] INFO  com.alibaba.nacos.common.remote.client - [818abb01-efe9-4f9c-8d30-e9ca2729a869_config-0] Registry connection listener to current client:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$1
2025-07-06 20:52:44.228 [main] INFO  com.alibaba.nacos.common.remote.client - [818abb01-efe9-4f9c-8d30-e9ca2729a869_config-0] RpcClient init, ServerListFactory = com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$2
2025-07-06 20:52:44.229 [main] INFO  com.alibaba.nacos.common.remote.client - [818abb01-efe9-4f9c-8d30-e9ca2729a869_config-0] Try to connect to server on start up, server: {serverIp = '8.133.246.113', server main port = 8848}
2025-07-06 20:52:44.229 [main] INFO  c.a.nacos.common.remote.client.grpc.GrpcClient - grpc client connection server:8.133.246.113 ip,serverPort:9848,grpcTslConfig:{"sslProvider":"OPENSSL","enableTls":false,"mutualAuthEnable":false,"trustAll":false}
2025-07-06 20:52:44.367 [main] INFO  com.alibaba.nacos.common.remote.client - [818abb01-efe9-4f9c-8d30-e9ca2729a869_config-0] Success to connect to server [8.133.246.113:8848] on start up, connectionId = 1751806364116_139.226.176.198_11688
2025-07-06 20:52:44.367 [main] INFO  com.alibaba.nacos.common.remote.client - [818abb01-efe9-4f9c-8d30-e9ca2729a869_config-0] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
2025-07-06 20:52:44.367 [com.alibaba.nacos.client.remote.worker] INFO  com.alibaba.nacos.common.remote.client - [818abb01-efe9-4f9c-8d30-e9ca2729a869_config-0] Notify connected event to listeners.
2025-07-06 20:52:44.367 [main] INFO  com.alibaba.nacos.common.remote.client - [818abb01-efe9-4f9c-8d30-e9ca2729a869_config-0] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$$Lambda/0x00000245a173d680
2025-07-06 20:52:44.367 [com.alibaba.nacos.client.remote.worker] INFO  com.alibaba.nacos.client.config.impl.ClientWorker - [818abb01-efe9-4f9c-8d30-e9ca2729a869_config-0] Connected,notify listen context...
2025-07-06 20:52:44.378 [main] WARN  c.bgpay.bgai.config.NacosRouteDefinitionRepository - Nacos中未找到路由定义配置
2025-07-06 20:52:44.384 [main] INFO  com.alibaba.nacos.client.config.impl.CacheData - nacos.cache.data.init.snapshot = true 
2025-07-06 20:52:44.384 [main] INFO  com.alibaba.nacos.client.config.impl.ClientWorker - [fixed-d750d92e-152f-4055-a641-3bc9dda85a29-8.133.246.113_8848] [subscribe] gateway-routes+DEFAULT_GROUP+d750d92e-152f-4055-a641-3bc9dda85a29
2025-07-06 20:52:44.392 [main] INFO  com.alibaba.nacos.client.config.impl.CacheData - [fixed-d750d92e-152f-4055-a641-3bc9dda85a29-8.133.246.113_8848] [add-listener] ok, tenant=d750d92e-152f-4055-a641-3bc9dda85a29, dataId=gateway-routes, group=DEFAULT_GROUP, cnt=1
2025-07-06 20:52:44.397 [main] INFO  c.bgpay.bgai.service.impl.DynamicRouteServiceImpl - 初始化动态路由服务
2025-07-06 20:52:44.399 [main] INFO  c.a.n.p.auth.spi.client.ClientAuthPluginManager - [ClientAuthPluginManager] Load ClientAuthService com.alibaba.nacos.client.auth.impl.NacosClientAuthServiceImpl success.
2025-07-06 20:52:44.400 [main] INFO  c.a.n.p.auth.spi.client.ClientAuthPluginManager - [ClientAuthPluginManager] Load ClientAuthService com.alibaba.nacos.client.auth.ram.RamClientAuthServiceImpl success.
2025-07-06 20:52:44.402 [main] INFO  com.alibaba.nacos.common.remote.client - [RpcClientFactory] create a new rpc client of b0ae97df-3ff0-4853-9691-f78a41f17e06_config-0
2025-07-06 20:52:44.402 [main] INFO  com.alibaba.nacos.common.remote.client - [b0ae97df-3ff0-4853-9691-f78a41f17e06_config-0] Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda/0x00000245a15fe9f8
2025-07-06 20:52:44.402 [main] INFO  com.alibaba.nacos.common.remote.client - [b0ae97df-3ff0-4853-9691-f78a41f17e06_config-0] Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda/0x00000245a15fee08
2025-07-06 20:52:44.402 [main] INFO  com.alibaba.nacos.common.remote.client - [b0ae97df-3ff0-4853-9691-f78a41f17e06_config-0] Registry connection listener to current client:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$1
2025-07-06 20:52:44.402 [main] INFO  com.alibaba.nacos.common.remote.client - [b0ae97df-3ff0-4853-9691-f78a41f17e06_config-0] RpcClient init, ServerListFactory = com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$2
2025-07-06 20:52:44.403 [main] INFO  com.alibaba.nacos.common.remote.client - [b0ae97df-3ff0-4853-9691-f78a41f17e06_config-0] Try to connect to server on start up, server: {serverIp = '8.133.246.113', server main port = 8848}
2025-07-06 20:52:44.403 [main] INFO  c.a.nacos.common.remote.client.grpc.GrpcClient - grpc client connection server:8.133.246.113 ip,serverPort:9848,grpcTslConfig:{"sslProvider":"OPENSSL","enableTls":false,"mutualAuthEnable":false,"trustAll":false}
2025-07-06 20:52:44.537 [main] INFO  com.alibaba.nacos.common.remote.client - [b0ae97df-3ff0-4853-9691-f78a41f17e06_config-0] Success to connect to server [8.133.246.113:8848] on start up, connectionId = 1751806364288_139.226.176.198_11691
2025-07-06 20:52:44.537 [main] INFO  com.alibaba.nacos.common.remote.client - [b0ae97df-3ff0-4853-9691-f78a41f17e06_config-0] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
2025-07-06 20:52:44.537 [com.alibaba.nacos.client.remote.worker] INFO  com.alibaba.nacos.common.remote.client - [b0ae97df-3ff0-4853-9691-f78a41f17e06_config-0] Notify connected event to listeners.
2025-07-06 20:52:44.537 [main] INFO  com.alibaba.nacos.common.remote.client - [b0ae97df-3ff0-4853-9691-f78a41f17e06_config-0] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$$Lambda/0x00000245a173d680
2025-07-06 20:52:44.537 [com.alibaba.nacos.client.remote.worker] INFO  com.alibaba.nacos.client.config.impl.ClientWorker - [b0ae97df-3ff0-4853-9691-f78a41f17e06_config-0] Connected,notify listen context...
2025-07-06 20:52:44.596 [main] WARN  c.bgpay.bgai.service.impl.DynamicRouteServiceImpl - Nacos中没有找到路由配置，使用默认配置
2025-07-06 20:52:44.596 [main] INFO  com.alibaba.nacos.client.config.impl.ClientWorker - [fixed-d750d92e-152f-4055-a641-3bc9dda85a29-8.133.246.113_8848] [subscribe] gateway-routes+DEFAULT_GROUP+d750d92e-152f-4055-a641-3bc9dda85a29
2025-07-06 20:52:44.596 [main] INFO  com.alibaba.nacos.client.config.impl.CacheData - [fixed-d750d92e-152f-4055-a641-3bc9dda85a29-8.133.246.113_8848] [add-listener] ok, tenant=d750d92e-152f-4055-a641-3bc9dda85a29, dataId=gateway-routes, group=DEFAULT_GROUP, cnt=1
2025-07-06 20:52:44.597 [main] INFO  c.bgpay.bgai.service.impl.DynamicRouteServiceImpl - 注册Nacos配置监听器成功
2025-07-06 20:52:44.604 [main] INFO  com.bgpay.bgai.config.NacosRouteConfigListener - 初始化Nacos路由配置监听器
2025-07-06 20:52:44.606 [main] INFO  c.a.n.p.auth.spi.client.ClientAuthPluginManager - [ClientAuthPluginManager] Load ClientAuthService com.alibaba.nacos.client.auth.impl.NacosClientAuthServiceImpl success.
2025-07-06 20:52:44.606 [main] INFO  c.a.n.p.auth.spi.client.ClientAuthPluginManager - [ClientAuthPluginManager] Load ClientAuthService com.alibaba.nacos.client.auth.ram.RamClientAuthServiceImpl success.
2025-07-06 20:52:44.607 [main] INFO  com.alibaba.nacos.common.remote.client - [RpcClientFactory] create a new rpc client of 038f8ef0-a7f2-4e85-8187-07545ae9876a_config-0
2025-07-06 20:52:44.607 [main] INFO  com.alibaba.nacos.common.remote.client - [038f8ef0-a7f2-4e85-8187-07545ae9876a_config-0] Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda/0x00000245a15fe9f8
2025-07-06 20:52:44.607 [main] INFO  com.alibaba.nacos.common.remote.client - [038f8ef0-a7f2-4e85-8187-07545ae9876a_config-0] Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda/0x00000245a15fee08
2025-07-06 20:52:44.607 [main] INFO  com.alibaba.nacos.common.remote.client - [038f8ef0-a7f2-4e85-8187-07545ae9876a_config-0] Registry connection listener to current client:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$1
2025-07-06 20:52:44.607 [main] INFO  com.alibaba.nacos.common.remote.client - [038f8ef0-a7f2-4e85-8187-07545ae9876a_config-0] RpcClient init, ServerListFactory = com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$2
2025-07-06 20:52:44.607 [main] INFO  com.alibaba.nacos.common.remote.client - [038f8ef0-a7f2-4e85-8187-07545ae9876a_config-0] Try to connect to server on start up, server: {serverIp = '8.133.246.113', server main port = 8848}
2025-07-06 20:52:44.607 [main] INFO  c.a.nacos.common.remote.client.grpc.GrpcClient - grpc client connection server:8.133.246.113 ip,serverPort:9848,grpcTslConfig:{"sslProvider":"OPENSSL","enableTls":false,"mutualAuthEnable":false,"trustAll":false}
2025-07-06 20:52:44.862 [main] INFO  com.alibaba.nacos.common.remote.client - [038f8ef0-a7f2-4e85-8187-07545ae9876a_config-0] Success to connect to server [8.133.246.113:8848] on start up, connectionId = 1751806364513_139.226.176.198_11698
2025-07-06 20:52:44.862 [main] INFO  com.alibaba.nacos.common.remote.client - [038f8ef0-a7f2-4e85-8187-07545ae9876a_config-0] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
2025-07-06 20:52:44.862 [com.alibaba.nacos.client.remote.worker] INFO  com.alibaba.nacos.common.remote.client - [038f8ef0-a7f2-4e85-8187-07545ae9876a_config-0] Notify connected event to listeners.
